Run,sample_name,Depth,Latitude_Start,Longitude_Start
ERR1701760,ERS488919,25,18.5839,66.4727
ERR598942,ERS493431,45,35.4002,-127.7499
ERR598943,ERS491938,5,-5.2529,-85.1545
ERR598944,ERS494616,800,43.7182,-16.8714
ERR598945,ERS491001,5,-60.2287,-60.6476
ERR598946,ERS491913,177,-12.9794,-96.0232
ERR598947,ERS490230,700,-31.0198,4.6685
ERR598948,ERS492699,115,-9.0063,-139.1394
ERR598949,ERS488830,25,19.0284,64.5126
ERR598950,ERS487936,40,36.5533,-6.5669
ERR598951,ERS488486,5,39.3888,19.3905
ERR598952,ERS492177,30,2.0299,-84.5546
ERR598953,ERS491913,177,-12.9794,-96.0232
ERR598954,ERS492408,5,-23.2811,-129.3947
ERR598955,ERS487899,5,36.5533,-6.5669
ERR598956,ERS492778,150,-8.9109,-140.2845
ERR598957,ERS492445,155,-23.2189,-129.4997
ERR598958,ERS494374,250,34.1504,-56.9684
ERR598959,ERS488649,5,18.3967,39.875
ERR598960,ERS490065,850,-35.1889,26.2905
ERR598961,ERS492357,90,-16.9587,-100.6751
ERR598962,ERS492012,40,-5.2669,-85.2732
ERR598963,ERS494394,5,34.1132,-49.9181
ERR598964,ERS494431,740,34.0771,-49.8233
ERR598965,ERS491463,35,-33.9116,-73.0537
ERR598966,ERS488714,5,20.8183,63.5047
ERR598967,ERS491525,5,-29.7238,-101.1604
ERR598968,ERS494236,5,34.6712,-71.3093
ERR598969,ERS488545,5,27.16,27.1433
ERR598970,ERS489917,5,-29.5019,37.9889
ERR598971,ERS492205,380,2.0649,-84.5546
ERR598972,ERS490002,65,-29.5333,37.9117
ERR598973,ERS490124,5,-34.9449,17.9189
ERR598974,ERS488747,17,20.8222,63.5133
ERR598975,ERS488685,60,18.4417,39.8567
ERR598976,ERS494518,5,36.1715,-29.023
ERR598977,ERS489074,60,14.5536,70.0128
ERR598978,ERS491938,5,-5.2529,-85.1545
ERR598979,ERS490029,5,-35.1728,26.2868
ERR598980,ERS493372,550,31.528,-159.0224
ERR598981,ERS491913,177,-12.9794,-96.0232
ERR598982,ERS490163,30,-34.8901,18.0459
ERR598983,ERS494170,5,39.2305,-70.0377
ERR598984,ERS490433,5,-8.7789,-17.9099
ERR598985,ERS494006,640,25.6236,-88.45
ERR598986,ERS494559,80,36.1811,-28.9373
ERR598987,ERS493670,40,14.2075,-116.6468
ERR598988,ERS492863,120,-9.0714,-140.5973
ERR598989,ERS493636,5,14.2035,-116.6261
ERR598990,ERS490085,30,-35.2421,26.3048
ERR598991,ERS488649,5,18.3967,39.875
